| network_model                | GuideDepth                        |
| sq_rel   | 0.468255  |
| rmse     | 2.7344    |
| rmse_log | 0.211054  |
| log10    | 0.0531386 |
| silog    | 0.202666  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_60.pth 
| d1       | 0.81037   |
| d2       | 0.901597  |
| d3       | 0.98604   |
| abs_rel  | 0.100466  |
| sq_rel   | 0.466891  |
| rmse     | 2.73418   |
| rmse_log | 0.210048  |
| log10    | 0.0515443 |
| silog    | 0.200739  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_61.pth 
| d1       | 0.810614  |
| d2       | 0.901596  |
| d3       | 0.98604   |
| abs_rel  | 0.100129  |
| sq_rel   | 0.466637  |
| rmse     | 2.73386   |
| rmse_log | 0.209926  |
| log10    | 0.0514043 |
| silog    | 0.200556  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_62.pth 
| d1       | 0.81089   |
| d2       | 0.901603  |
| d3       | 0.98604   |
| abs_rel  | 0.0998267 |
| sq_rel   | 0.466359  |
| rmse     | 2.73343   |
| rmse_log | 0.209798  |
| log10    | 0.0512772 |
| silog    | 0.200414  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_63.pth 
| d1       | 0.811207  |
| d2       | 0.901608  |
| d3       | 0.98604   |
| abs_rel  | 0.0995569 |
| sq_rel   | 0.466073  |
| rmse     | 2.73297   |
| rmse_log | 0.209671  |
| log10    | 0.0511637 |
| silog    | 0.200289  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_64.pth 
| d1       | 0.811527  |
| d2       | 0.901612  |
| d3       | 0.98604   |
| abs_rel  | 0.099296  |
| sq_rel   | 0.465792  |
| rmse     | 2.73252   |
| rmse_log | 0.209551  |
| log10    | 0.0510552 |
| silog    | 0.20015   |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_65.pth 
| d1       | 0.811753  |
| d2       | 0.901612  |
| d3       | 0.98604   |
| abs_rel  | 0.0990235 |
| sq_rel   | 0.465506  |
| rmse     | 2.73208   |
| rmse_log | 0.209432  |
| log10    | 0.050943  |
| silog    | 0.199988  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_66.pth 
| d1       | 0.812033  |
| d2       | 0.901613  |
| d3       | 0.98604   |
| abs_rel  | 0.098722  |
| sq_rel   | 0.465178  |
| rmse     | 2.73154   |
| rmse_log | 0.2093    |
| log10    | 0.0508194 |
| silog    | 0.199808  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_67.pth 
| d1       | 0.812214  |
| d2       | 0.901618  |
| d3       | 0.98604   |
| abs_rel  | 0.0984096 |
| sq_rel   | 0.464855  |
| rmse     | 2.73098   |
| rmse_log | 0.209166  |
| log10    | 0.0506904 |
| silog    | 0.199638  |

New model saved: weights/2022_08_23-05_35_59_PM/GuideDepth_68.pth 
| d1       | 0.812339  |
| d2       | 0.901621  |
| d3       | 0.98604   |
| abs_rel  | 0.0980994 |
| sq_rel   | 0.464553  |
| rmse     | 2.73047   |
| rmse_log | 0.209039  |
| log10    | 0.0505622 |
