| network_model                | AuxSparseGuidedDepth                                                       |
New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_78.pth 
| d1       | 0.94194   |
| d2       | 0.988965  |
| d3       | 0.99715   |
| abs_rel  | 0.0733431 |
| sq_rel   | 0.357948  |
| rmse     | 3.3271    |
| rmse_log | 0.114039  |
| log10    | 0.0316904 |
| silog    | 0.111293  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_80.pth 
| d1       | 0.942282  |
| d2       | 0.989069  |
| d3       | 0.997182  |
| abs_rel  | 0.0730912 |
| sq_rel   | 0.35632   |
| rmse     | 3.3158    |
| rmse_log | 0.113562  |
| log10    | 0.0315267 |
| silog    | 0.110895  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_82.pth 
| d1       | 0.942482  |
| d2       | 0.98916   |
| d3       | 0.997211  |
| abs_rel  | 0.0729099 |
| sq_rel   | 0.355182  |
| rmse     | 3.30727   |
| rmse_log | 0.113186  |
| log10    | 0.0313986 |
| silog    | 0.110583  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_84.pth 
| d1       | 0.942607  |
| d2       | 0.989243  |
| d3       | 0.997232  |
| abs_rel  | 0.072788  |
| sq_rel   | 0.354367  |
| rmse     | 3.301     |
| rmse_log | 0.112911  |
| log10    | 0.0313134 |
| silog    | 0.110347  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_86.pth 
| d1       | 0.942804  |
| d2       | 0.98932   |
| d3       | 0.997255  |
| abs_rel  | 0.072635  |
| sq_rel   | 0.353298  |
| rmse     | 3.29474   |
| rmse_log | 0.112649  |
| log10    | 0.0312295 |
| silog    | 0.110113  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_88.pth 
| d1       | 0.943108  |
| d2       | 0.989396  |
| d3       | 0.997275  |
| abs_rel  | 0.0724464 |
| sq_rel   | 0.351983  |
| rmse     | 3.28596   |
| rmse_log | 0.112362  |
| log10    | 0.0311381 |
| silog    | 0.109845  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_90.pth 
| d1       | 0.943576  |
| d2       | 0.989476  |
| d3       | 0.997299  |
| abs_rel  | 0.0721783 |
| sq_rel   | 0.350126  |
| rmse     | 3.27405   |
| rmse_log | 0.112021  |
| log10    | 0.0310251 |
| silog    | 0.109515  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_92.pth 
| d1       | 0.944082  |
| d2       | 0.989547  |
| d3       | 0.997326  |
| abs_rel  | 0.071869  |
| sq_rel   | 0.347929  |
| rmse     | 3.26258   |
| rmse_log | 0.111681  |
| log10    | 0.0309126 |
| silog    | 0.109173  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_94.pth 
| d1       | 0.944554  |
| d2       | 0.989602  |
| d3       | 0.997351  |
| abs_rel  | 0.0715748 |
| sq_rel   | 0.34563   |
| rmse     | 3.25301   |
| rmse_log | 0.111396  |
| log10    | 0.0308263 |
| silog    | 0.108866  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_96.pth 
| d1       | 0.944987  |
| d2       | 0.989657  |
| d3       | 0.997366  |
| abs_rel  | 0.0713047 |
| sq_rel   | 0.343501  |
| rmse     | 3.24586   |
| rmse_log | 0.111171  |
| log10    | 0.0307551 |
| silog    | 0.108614  |

New model saved: weights/2022_07_11-06_43_56_PM/AuxSparseGuidedDepth_98.pth 
| d1       | 0.945306  |
| d2       | 0.989704  |
| d3       | 0.997379  |
| abs_rel  | 0.0710859 |
| sq_rel   | 0.341721  |
| rmse     | 3.2408    |
| rmse_log | 0.110996  |
| log10    | 0.0307007 |
| silog    | 0.108414  |
