| network_model                | AuxSparseGuidedDepth                      |
New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_42.pth 
| d1       | 0.997321   |
| d2       | 0.99993    |
| d3       | 1          |
| abs_rel  | 0.0230363  |
| sq_rel   | 0.0373658  |
| rmse     | 1.13358    |
| rmse_log | 0.0359966  |
| log10    | 0.00999564 |
| silog    | 0.0358686  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_43.pth 
| d1       | 0.997321   |
| d2       | 0.99993    |
| d3       | 1          |
| abs_rel  | 0.023016   |
| sq_rel   | 0.0373281  |
| rmse     | 1.13327    |
| rmse_log | 0.0359763  |
| log10    | 0.00998742 |
| silog    | 0.0358466  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_44.pth 
| d1       | 0.997321   |
| d2       | 0.99993    |
| d3       | 1          |
| abs_rel  | 0.0230017  |
| sq_rel   | 0.0372892  |
| rmse     | 1.1329     |
| rmse_log | 0.0359601  |
| log10    | 0.00998221 |
| silog    | 0.0358283  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_45.pth 
| d1       | 0.997315   |
| d2       | 0.99993    |
| d3       | 1          |
| abs_rel  | 0.0229983  |
| sq_rel   | 0.0372638  |
| rmse     | 1.13253    |
| rmse_log | 0.0359509  |
| log10    | 0.00998126 |
| silog    | 0.0358188  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_46.pth 
| d1       | 0.997314   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0230029  |
| sq_rel   | 0.0372547  |
| rmse     | 1.13215    |
| rmse_log | 0.0359464  |
| log10    | 0.00998281 |
| silog    | 0.0358165  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_47.pth 
| d1       | 0.997321   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0230066  |
| sq_rel   | 0.0372531  |
| rmse     | 1.13184    |
| rmse_log | 0.0359414  |
| log10    | 0.00998344 |
| silog    | 0.0358146  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_48.pth 
| d1       | 0.997321   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.023001   |
| sq_rel   | 0.0372444  |
| rmse     | 1.13161    |
| rmse_log | 0.0359309  |
| log10    | 0.00998038 |
| silog    | 0.0358052  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_49.pth 
| d1       | 0.997321   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0229831  |
| sq_rel   | 0.0372174  |
| rmse     | 1.13136    |
| rmse_log | 0.0359127  |
| log10    | 0.00997279 |
| silog    | 0.0357848  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_50.pth 
| d1       | 0.997307   |
| d2       | 0.999937   |
| d3       | 1          |
| abs_rel  | 0.0229578  |
| sq_rel   | 0.037178   |
| rmse     | 1.1311     |
| rmse_log | 0.0358901  |
| log10    | 0.00996263 |
| silog    | 0.0357583  |

New model saved: weights/2022_07_06-10_03_55_AM/AuxSparseGuidedDepth_51.pth 
