| network_model                | AuxGuideDepth                              |
| abs_rel  | 1.29543  |
| sq_rel   | 1.6343   |
| rmse     | 1.07138  |
| rmse_log | 0.771736 |
| log10    | 0.314182 |
| silog    | 0.583541 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_73.pth 
| d1       | 0.125658 |
| d2       | 0.282102 |
| d3       | 0.586055 |
| abs_rel  | 1.26987  |
| sq_rel   | 1.57568  |
| rmse     | 1.05118  |
| rmse_log | 0.761376 |
| log10    | 0.309693 |
| silog    | 0.576387 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_74.pth 
| d1       | 0.131389 |
| d2       | 0.298214 |
| d3       | 0.599332 |
| abs_rel  | 1.23512  |
| sq_rel   | 1.49675  |
| rmse     | 1.02495  |
| rmse_log | 0.747562 |
| log10    | 0.303564 |
| silog    | 0.567278 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_75.pth 
| d1       | 0.13487  |
| d2       | 0.311958 |
| d3       | 0.606546 |
| abs_rel  | 1.21282  |
| sq_rel   | 1.45158  |
| rmse     | 1.00973  |
| rmse_log | 0.738525 |
| log10    | 0.299467 |
| silog    | 0.561344 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_76.pth 
| d1       | 0.138869 |
| d2       | 0.327603 |
| d3       | 0.616544 |
| abs_rel  | 1.17937  |
| sq_rel   | 1.37427  |
| rmse     | 0.984414 |
| rmse_log | 0.725412 |
| log10    | 0.293815 |
| silog    | 0.552085 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_77.pth 
| d1       | 0.140077 |
| d2       | 0.339195 |
| d3       | 0.620504 |
| abs_rel  | 1.16167  |
| sq_rel   | 1.34378  |
| rmse     | 0.975606 |
| rmse_log | 0.717882 |
| log10    | 0.290453 |
| silog    | 0.546705 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_78.pth 
| d1       | 0.14565  |
| d2       | 0.34914  |
| d3       | 0.629739 |
| abs_rel  | 1.13108  |
| sq_rel   | 1.27414  |
| rmse     | 0.9542   |
| rmse_log | 0.705722 |
| log10    | 0.285258 |
| silog    | 0.537715 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_79.pth 
| d1       | 0.148959 |
| d2       | 0.366176 |
| d3       | 0.642001 |
| abs_rel  | 1.09752  |
| sq_rel   | 1.21065  |
| rmse     | 0.939383 |
| rmse_log | 0.692008 |
| log10    | 0.279263 |
| silog    | 0.527919 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_84.pth 
| d1       | 0.162059 |
| d2       | 0.408167 |
| d3       | 0.643956 |
| abs_rel  | 1.0717   |
| sq_rel   | 1.19594  |
| rmse     | 0.936987 |
| rmse_log | 0.679609 |
| log10    | 0.272837 |
| silog    | 0.521419 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_85.pth 
| d1       | 0.161858 |
| d2       | 0.406164 |
| d3       | 0.637967 |
| abs_rel  | 1.08274  |
| sq_rel   | 1.21453  |
| rmse     | 0.93572  |
| rmse_log | 0.68279  |
| log10    | 0.274686 |
| silog    | 0.522906 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_86.pth 
| d1       | 0.162114 |
| d2       | 0.42035  |
| d3       | 0.647531 |
| abs_rel  | 1.0482   |
| sq_rel   | 1.13061  |
| rmse     | 0.911492 |
| rmse_log | 0.669322 |
| log10    | 0.269215 |
| silog    | 0.51215  |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_87.pth 
| d1       | 0.183788 |
| d2       | 0.487152 |
| d3       | 0.666313 |
| abs_rel  | 0.978604 |
| sq_rel   | 0.999789 |
| rmse     | 0.857373 |
| rmse_log | 0.637839 |
| log10    | 0.255037 |
| silog    | 0.491494 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_92.pth 
| d1       | 0.211811 |
| d2       | 0.528168 |
| d3       | 0.68296  |
| abs_rel  | 0.927073 |
| sq_rel   | 0.912321 |
| rmse     | 0.815998 |
| rmse_log | 0.611497 |
| log10    | 0.243838 |
| silog    | 0.476312 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_94.pth 
| d1       | 0.220379 |
| d2       | 0.567333 |
| d3       | 0.698769 |
| abs_rel  | 0.852672 |
| sq_rel   | 0.780517 |
| rmse     | 0.765679 |
| rmse_log | 0.579529 |
| log10    | 0.230047 |
| silog    | 0.450498 |

New model saved: weights/2022_06_30-02_57_25_PM/AuxGuideDepth_98.pth 
| d1       | 0.25596  |
| d2       | 0.580843 |
| d3       | 0.708035 |
